Quality of Living Ranking,City,Country,Population,id,longitude,latitude,prcp,tmax,tmin
27,Adelaide,Australia,1276e3,ASN00023090,138.58690000000001,-34.9254,1.3586922677737416,23.07143924302789,12.645105853051058
11,Amsterdam,Netherlands,1108e3,NLE00108974,4.9167,52.3733,2.5107531,NaN,NaN
3,Auckland,New Zealand,1377e3,NZM00093110,174.8,-37,2.864046692607004,19.327352410415056,11.411455748552523
39,Barcelona,Spain,5356e3,SPE00119891,2.1253,41.4192,1.5607223476297967,20.01983947830449,12.236393278154
13,Berlin,Germany,3520031,GME00111445,13.4039,52.4683,1.5866114041698065,14.594498869630746,6.540743531775935
14,Bern,Switzerland,136300,SZE00116090,6.95,46.82,2.303652739554666,14.5817703109328,5.319650872817955
34,Boston,United States,665984,USW00014739,-71.0671,42.357,3.052538576406172,15.559183673469388,7.28899950223992
36,Brisbane,Australia,2275e3,ASN00040839,153.0217,-27.4667,1.8952524491333835,NaN,NaN
21,Brussels,Belgium,2076e3,BE000006447,4.35,50.8,2.3695390177764386,15.146108374384236,7.7999239832763205
32,Calgary,Canada,1392e3,CA003031092,-114.0771,51.0584,1.2834424083769633,11.754150453955901,-0.35136186770428013
28,Canberra,Australia,439e3,ASN00070015,149.1095,-35.2776,1.6293174767321612,21.204518158421504,5.510050949513664
43,Chicago,United States,2713596,US1ILCK0036,-87.621,41.886,2.120262172284644,NaN,NaN
9,Copenhagen,Denmark,1294e3,DA000030370,12.5831,55.6831,1.9036513007759015,NaN,NaN
33,Dublin,Ireland,1201e3,EI000003969,-6.3192,53.3639,2.6211295034079845,13.891529745042494,6.1493666975594685
6,Düsseldorf,Germany,612178,GME00102268,6.77,51.2969,2.04923921177351,15.182464454976303,6.6078074332751315
46,Edinburgh,United Kingdom,502e3,UKM00003171,-2.868,56.373,2.0887789638115075,13.5568570237599,2.85906362545018
7,Frankfurt,Germany,727e3,GME00121246,8.7864,50.0892,1.8438238993710692,15.520698317005778,6.178623461441849
8,Geneva,Switzerland,171e3,SZ000008440,6.1331,46.25,2.5372279209407056,15.722918756268806,6.370425
18,Hamburg,Germany,1787408,GM000010147,9.99,53.635,2.085308056872038,13.703816413070593,5.7708655525068595
30,Helsinki,Finland,1199e3,FIE00142101,24.9478,60.1714,6.195563139931741,10.515568258238064,3.892389910218042
35,Honolulu,United States,352048,USC00111550,-157.8531,21.3061,NaN,14.872628930817609,7.562591378875725
46,Kobe,Japan,1530847,JA000047770,135.217,34.7,3.5852536865783557,20.683412322274883,13.78263788968825
42,Lisbon,Portugal,2921e3,PO000008535,-9.15,38.7167,2.6554319024907262,22.23709981167608,14.549516770892552
39,London,United Kingdom,10549e3,UKM00003772,-0.461,51.478,1.772753623188406,16.362745098039216,4.31159114857745
49,Los Angeles,United States,3949149,USW00093134,-118.2353,34.0511,0.7429318068690891,24.266898954703834,13.846963663514185
19,Luxembourg,Luxembourg,582972,LU000006590,6.21,49.63,2.391488302638128,13.862966650074664,6.292981582877053
38,Lyon,France,1636e3,FR069029001,4.9367,45.7231,2.3520657043305127,17.032105525136885,8.681757093081135
15,Melbourne,Australia,4316e3,ASN00086071,144.97,-37.8075,1.4197787462286289,21.206865127582017,11.99237545565006
41,Milan,Italy,3109e3,ITM00016064,8.669,45.53,2.75235646958012,18.324544920728126,9.180610236220472
23,Montreal,Canada,4049e3,CA007024745,-73.5833,45.5,3.2946394557823124,12.034625126646404,4.055697170532755
4,Munich,Germany,1468e3,GM000004199,11.5442,48.1642,2.5514093290097284,14.746245946620103,6.120828136692442
44,New York City,United States,8516502,USC00283704,-73.9867,40.6846,3.482155301144848,17.69342956694873,8.667696139476963
25,Nuremberg,Germany,501072,GME00102380,11.0567,49.5042,1.6937390870541282,14.552257420803192,4.879097031678723
30,Oslo,Norway,1019e3,NOE00134274,10.72,59.9419,2.368341260404281,11.453899082568807,3.507339449541284
17,Ottawa,Canada,1366e3,CA006105976,-75.7167,45.3833,2.538035892323031,12.142006972111554,2.4664342629482072
37,Paris,France,11011e3,FR000007150,2.3367,48.8231,1.6259063444108761,17.015446313065976,9.216310975609755
21,Perth,Australia,1931e3,ASN00009225,115.8728,-31.9192,1.829019412643106,25.082155301144848,12.936460925833748
28,San Francisco,United States,862004,USW00023272,-122.4269,37.7706,1.3998755599800896,17.757839721254356,10.79701343952215
46,Seattle,United States,683505,USW00024234,-122.344,47.6091,2.665244510978044,16.258848560700876,8.089086357947433
26,Singapore,Singapore,5607e3,SNM00048698,103.994,1.35,5.940594554084436,31.549021558872305,24.689399029488616
19,Stockholm,Sweden,1529e3,SWM00002485,18.0597,59.34,1.5539181599358118,11.269812834224599,4.854212356244985
24,Stuttgart,Germany,623738,GM000002716,9.1825,48.7703,1.5448275862068965,3.7470588235294118,-4.457894736842105
10,Sydney,Australia,458e4,ASN00066062,151.216,-33.8662,3.3001995012468823,22.97328852377396,14.888814150473342
44,Tokyo,Japan,38241e3,JA000047662,139.767,35.683,4.8615576496674056,20.652938048391384,12.952062527138514
15,Toronto,Canada,617e4,CA006158751,-79.4,43.6667,2.5409440910612657,13.928380187416332,5.529106724657076
5,Vancouver,Canada,2561e3,CA001108446,-123.1167,49.3,4.284762948753083,14.23463098134631,8.10299352750809
1,Vienna,Austria,1773e3,AU000005901,16.35,48.2331,2.888807488807489,15.873451327433628,7.645700245700246
51,"Washington, D.C.",United States,NA,USC00186350,-77.037,38.8958,3.012945973496432,20.25609631147541,9.282510866785987
12,Wellington,New Zealand,389e3,NZM00093439,174.8,-41.333,2.533367956374968,16.903533959138596,10.230293992330635
49,Yokohama,Japan,3697894,USC00144559,-95.2514,38.9583,3.5813721000000003,19.281165661785817,7.368667432510051
2,Zürich,Switzerland,365e3,SZ000003700,8.5667,47.3831,3.0496372279209405,14.00438816449348,6.364638403990025
